"pattern","file","line","column","runtime","code"
"readDb(","backend/auth/auth.handlers.js","138","22","true","const db = await readDb({ refreshExternalizedSessions: true });"
"writeDb(","backend/auth/auth.handlers.js","183","13","true","await writeDb(db, {"
"writeDb(","backend/auth/auth.handlers.js","208","13","true","await writeDb(db, {"
"writeDb(","backend/auth/auth.handlers.js","407","38","true","if (!wroteAuthSessionFast) await writeDb(db, {"
"readDb(","backend/auth/auth.handlers.js","457","22","true","const db = await readDb({ refreshExternalizedSessions: true });"
"writeDb(","backend/auth/auth.handlers.js","515","13","true","await writeDb(db, {"
"readDb(","backend/auth/auth.handlers.js","538","17","true",": await readDb({ refreshExternalizedSessions: true });"
"writeDb(","backend/auth/auth.handlers.js","593","15","true","await writeDb(db, {"
"readDb(","backend/auth/auth.handlers.js","648","22","true","const db = await readDb({ refreshExternalizedSessions: true });"
"writeDb(","backend/auth/auth.handlers.js","663","13","true","await writeDb(db, {"
"writeDb(","backend/auth/auth.handlers.js","702","11","true","await writeDb(db, {"
"readDb(","backend/auth/auth.handlers.js","712","22","true","const db = await readDb({"
"writeDb(","backend/auth/auth.handlers.js","768","15","true","await writeDb(db, {"
"writeDb(","backend/auth/auth.handlers.js","783","15","true","await writeDb(db, {"
"writeDb(","backend/auth/auth.handlers.js","791","40","true","if (!wroteAuthSessionFast) await writeDb(db, {"
"app_state","backend/db/app-state/app-state-mysql.repository.js","66","8","true","""app_state"","
"mysql2","backend/db/app-state/app-state-mysql.repository.js","109","41","true","const mysqlModule = await import(""mysql2/promise"");"
"mysql2","backend/db/app-state/app-state-mysql.repository.js","114","56","true","""BACKEND_DB_MODE=mysql richiede la dipendenza 'mysql2'. Installa il pacchetto e riavvia il backend."","
"node:sqlite","backend/db/app-state/app-state-sqlite.repository.js","22","42","true","const sqliteModule = await import(""node:sqlite"");"
"app_state","backend/db/app-state/app-state-sqlite.repository.js","70","81","true",".prepare(""SELECT name FROM sqlite_master WHERE type = 'table' AND name = 'app_state'"")"
"app_state","backend/db/app-state/app-state-sqlite.repository.js","82","22","true","CREATE TABLE app_state ("
"app_state","backend/db/app-state/app-state-sqlite.repository.js","90","66","true","const existingRow = db.prepare(""SELECT json, updated_at FROM app_state WHERE id = 1"").get();"
"app_state","backend/db/app-state/app-state-sqlite.repository.js","101","33","true","db.prepare(""INSERT INTO app_state (id, json, updated_at) VALUES (1, ?, ?)"").run(serialized, updatedAt);"
"app_state","backend/db/app-state/app-state-sqlite.repository.js","126","63","true","const row = this.db.prepare(""SELECT json, updated_at FROM app_state WHERE id = 1"").get();"
"app_state","backend/db/app-state/app-state-sqlite.repository.js","143","68","true","const row = readonlyDb.prepare(""SELECT json, updated_at FROM app_state WHERE id = 1"").get();"
